Arm,Reward,Regret,Algorithm
3,5.083400690834094,0,Epsilon-Greedy
3,2.8793646552467385,0,Epsilon-Greedy
3,4.194134000798658,0,Epsilon-Greedy
3,4.623224802155148,0,Epsilon-Greedy
3,4.694554584074199,0,Epsilon-Greedy
3,4.235559071188976,0,Epsilon-Greedy
3,5.132851066642856,0,Epsilon-Greedy
3,3.7255290615001977,0,Epsilon-Greedy
3,5.347529759671154,0,Epsilon-Greedy
3,4.432063454116854,0,Epsilon-Greedy
3,2.7669849515699085,0,Epsilon-Greedy
3,4.916485419879845,0,Epsilon-Greedy
3,3.5597229091225677,0,Epsilon-Greedy
3,4.802678535095949,0,Epsilon-Greedy
3,4.148463226869937,0,Epsilon-Greedy
3,3.643298394969644,0,Epsilon-Greedy
3,5.348355675001349,0,Epsilon-Greedy
3,1.5827650163564355,0,Epsilon-Greedy
3,4.1836513266292545,0,Epsilon-Greedy
3,1.7481514224943027,0,Epsilon-Greedy
3,5.214191606418966,0,Epsilon-Greedy
3,2.1748451833890927,0,Epsilon-Greedy
3,4.6366541200841045,0,Epsilon-Greedy
3,5.7278874716879695,0,Epsilon-Greedy
3,4.971131896233318,0,Epsilon-Greedy
3,1.2031613314977987,0,Epsilon-Greedy
